uid,translated_text,stereotype
0,"Mijn vriend, die opgroeide in Afrika, legde uit dat hij in zijn mentale modellen niet aanneemt dat de overheid bescherming of veiligheid zal bieden.",0
1,"â € ¢ Ten slotte, voor de patiënt die geen ziekenhuisopname nodig had en die bij zijn eigen huis is beheerd, volgt de re -integratie van de gemeenschap het proces zoals hieronder:",0
2,Haar vroege jaren als ingezeten arts in het Northern Territory leidde tot haar interesse in de inheemse gezondheid.,-1
3,"Een andere deelnemer verklaarde: ""Zonder netwerken van mensen om in elke sub-topic te bellen, was het moeilijk om kansen te identificeren waarin studenten met een persoon uit een andere cultuur of regio van de wereld konden spreken."" Een leraar van een charter school deelde dat zijn schoolHad lijsten van deskundige sprekers (NESPRIS genoemd) en een leraar van een cultureel diverse school beschreef hoe ze een leraar had waargenomen die culturele en inhoudelijke expertise had gebruikt via de netwerken van haar studenten.",1
4,"De patiënt volgde een maand later in de nefrologiekliniek met verhoogde bloeddruk, maar zijn creatinine en geschatte glomerulaire filtratiesnelheid (E-GFR) niveaus waren stabiel.",0
5,Een persoon heeft negatief ten onrechte getest onjuist gerust haar dat ze infectievrij is.,1
6,De auteur verklaart dat hij de enige auteur van dit manuscript is en hij heeft geen bekende concurrerende financiële belangen of persoonlijke relaties die het werk in dit artikel hadden kunnen beïnvloeden.,-1
7,"Nu doet Lesly het lichaam aan met symptomen van Covid-19, maar ze zei dat ze niet is kunnen worden getest omdat haar arts haar vertelde dat ze een ziektekostenverzekering nodig had.",-1
8,Deze patiënt bereikte herstel van haar immunologische en neurofysiologische status met parenterale toediening van folinezuur dat werd geïnitieerd vanaf 4 maanden oud.,0
9,In deze gevallen werd de indexpatiënt geïntubeerd en mechanisch ventilatie opgezet vóór zijn dood.,0
10,"De patiënt meldde dat hij plotseling convulsie ontwikkelde met tanden klemmen en ledematen schudden, wanneer hij op een bank op de dag van de eerste presentatie rustte, en de symptomen spontaan opgelost na een paar seconden.Maar toen hij probeerde op te staan, zag hij een rugpijn en kon hij zijn onderste ledematen niet verplaatsen.",0
11,"Zodra de bromagescore 3 was (ongeveer 135 minuten na de SAB), werd de patiënt teruggebracht naar haar kamer.",0
12,"Vanwege zijn onvermogen om orale voeding te verdragen, werd de patiënt begonnen met voeding via een nasogastrische buis samen met intraveneuze hydratatie.",0
13,"Manu Prakash is ""een van de meest fantasierijke wetenschappers van zijn generatie"", zegt Alejandro Sã¡nchez Alvarado, een Howard Hughes Medical Institute -onderzoeker en wetenschappelijk directeur van Stowers Institute for Medical Research.""Hij straalt een besmettelijk gevoel van nieuwsgierigheid uit, een attribuut dat nooit de herinnering aan de fundamentele reden kan opwekken waarom velen van ons ervoor kozen om ons leven aan de wetenschap te wijden: een behoefte om de natuurlijke wereld om ons heen te begrijpen,"" zegt hij.",1
14,De diagnose kan ernstige gevolgen hebben voor de patiënt en voor zijn gezin.,0
15,Onder hen was de president zelf.,1
16,"199 Als de hypothetische patiënt hierboven denkt dat zijn risico op een ziekte een tiende van een procent is in plaats van 1 procent, dan zal hij bereid zijn slechts $ 100 te betalen voor het vaccin in plaats van $ 1000.",0
17,"Eenmaal geïnfecteerd, begint de agent zijn / haar incubatieperiode, die volgt op een Weibull -distributie W eibull (0,11, 1,97) met een gemiddelde van 8,29 dagen en een mediaan van 7,76 dagen, gebaseerd op [41].",1
18,"Een arts die haar autonomie respecteert, moet het recht van Ann respecteren om deze beslissing te nemen.",-1
19,"Hierna ontwikkelde de patiënt Torticollis en hield zijn hoofd naar links, werd toen gerealiseerd dat de patiënt leed aan een acute dystonische reactie.",0
20,"Slechts één patiënt had een QTC> 500 ms, wat de bovenste getolereerde limiet is die de behandeling vereist, maar hij oefende geen cardiale ritmestoornissen of geleidingsproblemen uit.",0
21,"Bovendien had de patiënt ook een kortademigheid, meestal op het liggen van plat en hij is onlangs begonnen met slapen in een ligstoel.",0
22,"""Wanneer ze hem of haar behandeling en zorg geven, moeten artsen en verpleegkundigen de nadruk leggen op de patiënt zelf.",0
23,"Twintig jaar geleden, 45, raadpleegde de patiënt haar arts vanwege rhinitis, die achtereenvolgens 46 werd gediagnosticeerd als CRSWNP.",0
24,"In ons cohort was de enige patiënt die stierf een patiënt met NDMM die frontlinietherapie ontving, en ze vertoonde tekenen van extra bacteriële infectie.",0
25,Verdere ondervraging bleek dat de patiënt de afgelopen 14 dagen koorts had en hij testte later alleen positief op COVID-19-infectie.,0
26,"Resultaten in het pre-bodem tijdperk, een gemiddelde esthetische chirurg, was zijn beroep, persoonlijke levensstijl, leren en recreatie fijn in evenwicht.",1
27,"Zoals getoond in Fig. 3 (roze begrenzende dozen), als een persoon wordt afgesloten door een object of door andere mensen, voorspelt Centernet een strakke begrensingsdoos die alleen het zichtbare deel van de persoon bevat en zijn volledige vorm negeert.",-1
28,"I have shown that this student pushes back against advice with claims of epistemic primacy , and more subtly when she delivers unmarked acknowledgments such as ' okay ' , particularly when these are produced more quietly , with slightly raising intonation or stretched , showing that she may beminder dan overtuigd.",1
